Key Combinations - Windows Console API Values
================================================================================

Generated: 2025-12-22 11:39:11
Total combinations: 510

'                              | vk: 0xDE   | ascii:   39 | unicode:     39
Alt+'                          | vk: 0xDE   | ascii:   39 | unicode:     39
Shift+'                        | vk: 0xDE   | ascii:   34 | unicode:     34
Shift+Alt+'                    | vk: 0xDE   | ascii:   34 | unicode:     34
Ctrl+'                         | vk: 0xDE   | ascii:    0 | unicode:      0
Ctrl+Alt+'                     | vk: 0xDE   | ascii:    0 | unicode:      0
Ctrl+Shift+'                   | vk: 0xDE   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+'               | vk: 0xDE   | ascii:    0 | unicode:      0
,                              | vk: 0xBC   | ascii:   44 | unicode:     44
Alt+,                          | vk: 0xBC   | ascii:   44 | unicode:     44
Shift+,                        | vk: 0xBC   | ascii:   60 | unicode:     60
Shift+Alt+,                    | vk: 0xBC   | ascii:   60 | unicode:     60
Ctrl+Shift+Alt+,               | vk: 0xBC   | ascii:    0 | unicode:      0
-                              | vk: 0xBD   | ascii:   45 | unicode:     45
Alt+-                          | vk: 0xBD   | ascii:   45 | unicode:     45
Shift+-                        | vk: 0xBD   | ascii:   95 | unicode:     95
Ctrl+Alt+-                     | vk: 0xBD   | ascii:    0 | unicode:      0
Ctrl+Shift+-                   | vk: 0xBD   | ascii:   31 | unicode:     31
Ctrl+Shift+Alt+-               | vk: 0xBD   | ascii:    0 | unicode:      0
.                              | vk: 0xBE   | ascii:   46 | unicode:     46
Alt+.                          | vk: 0xBE   | ascii:   46 | unicode:     46
Shift+.                        | vk: 0xBE   | ascii:   62 | unicode:     62
Shift+Alt+.                    | vk: 0xBE   | ascii:   62 | unicode:     62
Ctrl+.                         | vk: 0xBE   | ascii:    0 | unicode:      0
Ctrl+Alt+.                     | vk: 0xBE   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+.               | vk: 0xBE   | ascii:    0 | unicode:      0
/                              | vk: 0xBF   | ascii:   47 | unicode:     47
Alt+/                          | vk: 0xBF   | ascii:   47 | unicode:     47
Shift+/                        | vk: 0xBF   | ascii:   63 | unicode:     63
Shift+Alt+/                    | vk: 0xBF   | ascii:   63 | unicode:     63
Ctrl+/                         | vk: 0xBF   | ascii:    0 | unicode:      0
Ctrl+Alt+/                     | vk: 0xBF   | ascii:    0 | unicode:      0
Ctrl+Shift+/                   | vk: 0xBF   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+/               | vk: 0xBF   | ascii:    0 | unicode:      0
0                              | vk: 0x30   | ascii:   48 | unicode:     48
Alt+0                          | vk: 0x30   | ascii:   48 | unicode:     48
Shift+0                        | vk: 0x30   | ascii:   41 | unicode:     41
Shift+Alt+0                    | vk: 0x30   | ascii:   41 | unicode:     41
Ctrl+Alt+0                     | vk: 0x30   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+0               | vk: 0x30   | ascii:    0 | unicode:      0
1                              | vk: 0x31   | ascii:   49 | unicode:     49
Alt+1                          | vk: 0x31   | ascii:   49 | unicode:     49
Shift+1                        | vk: 0x31   | ascii:   33 | unicode:     33
Shift+Alt+1                    | vk: 0x31   | ascii:   33 | unicode:     33
Ctrl+1                         | vk: 0x31   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+1               | vk: 0x31   | ascii:    0 | unicode:      0
2                              | vk: 0x32   | ascii:   50 | unicode:     50
Alt+2                          | vk: 0x32   | ascii:   50 | unicode:     50
Shift+2                        | vk: 0x32   | ascii:   64 | unicode:     64
Shift+Alt+2                    | vk: 0x32   | ascii:   64 | unicode:     64
Ctrl+2                         | vk: 0x32   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+2               | vk: 0x32   | ascii:    0 | unicode:      0
3                              | vk: 0x33   | ascii:   51 | unicode:     51
Alt+3                          | vk: 0x33   | ascii:   51 | unicode:     51
Shift+3                        | vk: 0x33   | ascii:   35 | unicode:     35
